İşlem Tarihi;Açıklama;Tutar (TL)
01.09.2026;ŞİRKET MAAŞ ÖDEMESİ;42500,00
02.09.2026;MİGROS TİCARET A.Ş. İSTANBUL;-854,20
03.09.2026;TURKCELL İLETİŞİM FATURASI;-350,00
04.09.2026;İGDAŞ DOĞALGAZ FATURASI;-720,50
05.09.2026;BİM BİRLEŞİK MAĞAZALAR;-412,80
07.09.2026;SHELL PETROL BENZİN;-1450,00
08.09.2026;NETFLIX ABONELİK;-219,99
10.09.2026;EV SAHİBİ KİRA ÖDEMESİ;-18000,00
11.09.2026;GÜNEŞ ECZANESİ SAĞLIK;-340,00
12.09.2026;STARBUCKS KAHVE KADIKÖY;-185,00
13.09.2026;İSTANBULKART ULAŞIM DOLUM;-200,00
14.09.2026;SPOTIFY ABONELİK;-64,99
